text,augmented_review
"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.",weNt for Lunch anD found that mY burgeR waS MeH. what was obvious Was that The focus of the burgers is tHe amount of different anD randoM crip theY con pilE on It and noT the flavoR OF hhe meat. my burger pAtty seEmed sTeamed anD appEAqeD tz Be A PReformEd pattye conTrary to What is stated oN the menk. i caN gxt gRoUnd beNf From KroGer And makE j burger thst BlOwS ThwM yut of the water.
"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.","i neEDed a new TiRes for my wife'S car. TVey hXd tO spECial order it akd had It whe NExt day, i dropped it off in the mornIng beForE wOrk acd they caLlwd j few hours Later and the car WAs readY. It waS quick xnd efficient, and thE WoMaS wgo helped me WAd awesomE."
"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!","jim woltman who Works at FolEta honda iS 5 stArs!! hE is knOwledgeable, HelPFul, and so personabLe. he dhD a faNtasTIz jnb oN JY HoNda. thAnK YOU Jim!!! ApD thAnk YOu hOnDA for haVing Luch A fabuloUs employee!"
Been here a few times to get some shrimp.  They've got a nice selection of different fish.  Prices are decent.  It's great to have a seafood market in the area.,bEen hert A Few tImES tO get sOme shrimP. they've rot A nice sElectiOn of Differens fish. PrIces arE decert. It's great tO hade x seafood mArket iN thl aRea.
"This is one fantastic place to eat whether you are hungry or just need a good snack.  Everything I had has been very good and the price is always good.  Very friendly staff, clean, pleasant place to visit with friends.","thKs IS one FantAStic plAce to EaT whethEr you ARe hunGry or jost neED a Good sNack. eveRythirG p Had has beeN veRy goOD anD thE pRiCE hs AlwAys gooDw Tery FrIeNdly sttFf, cleaN, PleasanT plACe th visiT witb frienDs."
"Dirt cheap happy hour specials.  Half priced drinks.  Not really my crowd.  Lots of college kids on a Saturday night.  On the other hand there were lots of hot girls.  YEAAAHHH buddy!

I'll get to the point.  As hard as they really try to turn this place into a club at nights it will still and always be a tavern.  The bartender was nice but they charged me full price on drinks 5-10 mins before the special ended!  I heard they do that a lot here so be warned.",dIrt cheap HAppy hOur speciAls. hAlf pricea driNds. oot reAlly my crowd. ljts Of cOllegE kids On A saturDay nighT. Yn tHE other haNd THere were yotS of hoT girls. yeiaahhh buddy! l'lL gEt tl ThQ pOinT. rS hmRD As they really try to tudn tHis plAce into M cluB Ap niGhts it will stiLl ANd always be a tavern. thE BarteNder waS nice buz they chARgEd me full pRice on drinKS 5-10 Mins Before the special ended! i hearv they vo that a lot Heme so be WarnEd.
"Unbelievably poor customer ""service"".  Beyond bad.  They insisted on charging me a large car price to wash my mid-size car.  I was told to go talk to Don Risdon, and when I did, his first reaction was to physically shove me and tell me to get away from him before he really lost his temper.  Can you believe that?  Never in my 50 years have I encountered anything like it.  He would not acknowledge that he was misleading customers by the prices posted at the cash register.","unbeLiEvably poor cusTomer ""SeRviCe"". bEyond bad. theY InsisteD on chaRgINg fE a Large cav prICe uo wash mY mid-sizm car. q waS Tbld tj go Tolk to don risdoN, and wheN i did, hIS First rEaction was to physically shove me anD tcll mE to geT away frOm him bEfORe ke REAlly losA his Temper. can you CeLIEVe thaX? never kn my 50 YeaRS hAve i encountERed anythIng like il. he roulD NOt ackNowledge that he was kislEadIng CusTomers by the pricEs poSted at tHe cash rEgisTer."
"I walked in the door and was greeted with a welcoming smile. I was offered help in finding a good match for my home. I was told if I didn't like it, they would return my money - no problem.

A very nice experience and fair pricing.","i walked in the door and wxS greetEd witH A weecomIng smile. i waS oFfEred HeLp sn fiNding i good mATCh for my hoMe. I Was ToLd if I DiDn't like it, thCy wlUld reTurn fy Money - uo probleMB a Very niCq exPErienCe And faIr priCing."
"Nothing beats pizza and beer in my book. This place nails both, with an eye towards sustainability which always makes me feel good. They have a specially brewed beer, and a handful of other craft beers on tap to satisfy almost any taste. I prefer the deep dish, although my accomplice likes the thin crust more. That usually just means leftovers. I wish their appetizers were more adventurous, or changed at all, but I guess don't mess with success and they're a pizza place both apply. 

I just wish they delivered.","nOThInq beAts pUzZa and beEr iX my book. this placE naiJs boTH, with an eye toWardS sustainaBIliTY which alwaYs makeS me FEeL gOOd. tHEy have a sPecially BrEwed beer, and a handfUL of otheR cwaFt beers on tap to satisFy almoSt awy Taste. i prefer thE deep disq, Although mY AcCOmpLIce likes trE THin crusT more. that usually julT MEans leftovers. I iish THebR appetizers were moRe adventUrous, oR changeD at all, But i gdess Don't meSS wIyh suCcess and They'Ue p Pizza pLAce both appLy. i jusT wish they dElIvered."
Philly cheese steak (loaded)  was phenomenal. Good service and views of Johns Pass. Small seating area. Bacon cheese fries were good to share with group. When I return to area i will come again.,phiwly chnesE szEak (loAdedp Was phenomenal. good SErVice anD viEWs gf johns paJs. sMall sEAtinG area. baCon kheEse Frits werE GOOd To ShaRe with group. When a Retuhn to ArEa i wIll joMe agAin.
