text,augmented_review_mechanical
"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.",PenT for lUnch aNd found thAT mY BUrger waS mEh. whAt was obviOUs was That the focus oF thE burGerS iS The amount of diFfEreNt and ranDom crap theY chn pILe On it and not the flaVor of the meat. my burGer pAttY seemeD stEameD And appeared to be a PrEformed paTtyz contrarY to what Is StaTeD on tHe meNu. r can get groUnd Ceef From kRoger aNd maKe a burger thAT bkows them out Of the waTeR.
"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.","i Needed a New TiReS for my wIfe'T car. thEO Had to spEcial Order iT and hAD At thE nExt Day, i droPped it oVf in tHe mornIng beroRe Woyk And They CalLed A few hours laTer and thE car Was reADY. It wLS quicq and effIcieNT, ANd the WOMaN Who helpEd me Was awesomE."
"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!","jIm coLtmAn who Wcrks at goLeta honda Io 5 StaRs!! he ij knowleDgeable, dElpFuL, and so persOnAble. he Did A fanTaStiC job on my honda. tHank YOu jim!!! any thank yok honda foH HavIng sUch a fabuLous emPloyee!"
Been here a few times to get some shrimp.  They've got a nice selection of different fish.  Prices are decent.  It's great to have a seafood market in the area.,bEmn heRe a fEw tiMeS mo GEt Some shriMp. they've bot a nice sElection of differeNt Fidh. EriCes art depent. it'i gream to havE A seAfood market Il thd Area.
"This is one fantastic place to eat whether you are hungry or just need a good snack.  Everything I had has been very good and the price is always good.  Very friendly staff, clean, pleasant place to visit with friends.","thiS is one Fantastic plACe vo zat whEther you aRe cUNGrY or just nced p goOd sNAck. EverLthiNg I had has Been vERY good And bhE price Is alWayx good. VeRy frIendlY stafF, cleaN, PlEasant place to vigIt wiTh fRIends."
"Dirt cheap happy hour specials.  Half priced drinks.  Not really my crowd.  Lots of college kids on a Saturday night.  On the other hand there were lots of hot girls.  YEAAAHHH buddy!

I'll get to the point.  As hard as they really try to turn this place into a club at nights it will still and always be a tavern.  The bartender was nice but they charged me full price on drinks 5-10 mins before the special ended!  I heard they do that a lot here so be warned.",diRt cheAp Happy hoUr speciyls. Half pRiceD drInks. Not geALlY mY crowd. lots gf college Kidx on a saturdaY nIght. on the Other hAnd there were LotS ot hot girls. yeaaahhh bUDdY! i'lL Get to tue point. as jaRd as thxy reAlLy Wry To tUrn tHis pLace iNTo z cLUb at NighTs It wIll still jnD AlwAys be a tAvern. the bartenDER tAs nice bnt They chaRgeD me fUll kRiCE on dtInkS 5-10 mIns befOre JhE sPecial ended! i HEard tHhy dO thAc A lot here sO be WarNed.
"Unbelievably poor customer ""service"".  Beyond bad.  They insisted on charging me a large car price to wash my mid-size car.  I was told to go talk to Don Risdon, and when I did, his first reaction was to physically shove me and tell me to get away from him before he really lost his temper.  Can you believe that?  Never in my 50 years have I encountered anything like it.  He would not acknowledge that he was misleading customers by the prices posted at the cash register.","UnbelieVABlZ poor customew ""sErvIce"". beyonD bad. thep insistEd on cHArgiNg me a largE car pTice Ty Wash my mid-size car. I Was wOld to gG tAlk tO don rVsDon, aNd whEn i DuD, his faRst reactIon Wxs to pHysIcjlly SHOve Me ANd Tell Me to geb AwAY from Him BEfoRe HE realLy lOSt his tEmpeR. cay you believJ ThaT? never iN my 50 YeaRS hAvE i encounTEred anytHing liKe it. he wOulu not aCknowledgE that he Was misleading CUsTOMerS by thE pricES poStes at The cash register."
"I walked in the door and was greeted with a welcoming smile. I was offered help in finding a good match for my home. I was told if I didn't like it, they would return my money - no problem.

A very nice experience and fair pricing.","I wALked in the doOr AnD waS GreuteD with a welcomINg scile. i was oFFered help in fiNding i good matCh for hy hOmE. i daS told iw i Didn't like iX, tHeA woulD return mb MOnhy - no ProBlEm. A vERy nIcE eXPeriEnce aNd fair PRicing."
"Nothing beats pizza and beer in my book. This place nails both, with an eye towards sustainability which always makes me feel good. They have a specially brewed beer, and a handful of other craft beers on tap to satisfy almost any taste. I prefer the deep dish, although my accomplice likes the thin crust more. That usually just means leftovers. I wish their appetizers were more adventurous, or changed at all, but I guess don't mess with success and they're a pizza place both apply. 

I just wish they delivered.","nothing beats piZzX And beer in My boOk. TUIs place nails botH, wiTh an eye towaRds susTAINAbility whIch aLwaYs mabes ME feel aood. they Have a speCially bReweD beer, aNd a haNdful of OtHer crAft BEers on Tap to SatIsfy almosT Any taStec i prefer tho Deep dish, although my acCompliCe lIkes tHe thiw crust more. that usually just meanS lefTovers. I pIsH tHeir AppetIZers were Mole adventurous, OR changed gt aLl, buT i guRss dOn'T meSs with succeSs and they'rE a Pizza PLaCe BoTh awPly. i just wisH thEy dEliyereD."
Philly cheese steak (loaded)  was phenomenal. Good service and views of Johns Pass. Small seating area. Bacon cheese fries were good to share with group. When I return to area i will come again.,pHIlly cheese Steak (loaDed) Was pHEnomeNal. cooD SErViCe anD vieWs Oq johnS pass. Small seating KrEa. Bacon Dheese friep weRe Good to ShARE wiTh gROup. whEn i bEturN no area i wilL cOme anain.
"Went here with my mom a couple weeks ago. We recently went gluten-free, so having Sweet Christine's nearby is a life saver!

I had a donut and a blondie muffin (don't judge!).

The donut wasn't worth it. It was small, awkwardly sweet, weirdly textured.. I just didn't need it in my life. I wouldn't get it again.

The muffin was essentially a chocolate chip muffin. This was the best muffin I've ever had in my life. Now granted, I haven't had muffins in two months, and I LOVE muffins, but having this gluten free option is like a sign from above that God cares about us gluten intolerant folks, too.

I won't be able to go back until July, but when I do, I'm stocking up. I don't care about the price. These muffins are the best.","weNt herf with mi mom a coLple weeKs aGo. we rqcenTLy WEng gluten-free, sO hAvIng sweet cHristine's nEarby is a Lifl savEr! i HNd A donuT and N bLondoE muffin (dob't judge!). qhe donuT wASn't worTh it. it was smalL, aWkwardly sweEt, WeirdLy teXTurED.. i just didn't need ia pn My LiFef i wOuldn't get il agAin. sHe mUffin Kas eSSentially a chocolatE chiP Muffin. ThiS Was The best MufaiN i'oE evER had In qy liee. now grAnted, i haven't had muffins in two mOnthS, ano i lOve mufFins, but having tiIs gluten pree optIon is lIKe m SigN fRom above that god vares about Us glutEn intolerana folks, toO. i woN'T Be abLS to go back ulTIl july, But when i do, i'M sTocking uP. y dOn't care about the prIce. tHese mUcFins Are THe beSto"
"The Castle is hands-down one of my favourite midnight institutions/bars/clubs. Everyone here does their own thing and doesn't give a damn what you think (in the best way possible). Most people are dressed to impress, but they're also there to have fun.

I'm usually a Monday or Thursday night kinda guy, preferring more new wave/indie/pop music than some of the harder gothic/industrial music they play on other nights. For those who are somehow still into cobwebs and corsets and fake fangs, there's a plethora of nights for you. Some of my best memories are dancing hard with a hundred strangers surrounding me, puddles of sweat under our feet, and massive cheers in the wee hours of the morning when the lights flick on and they kick everyone out.

Some of the staff/bartenders/dancers seem to take themselves too seriously, preventing this place from the five stars it probably deserves, but that's hit or miss because I've met some fabulous people working at the Castle over the years.

Time keeps marching on, but inside the Castle there's a strange phantasmagorical atmosphere of old punks and goths, 90s subcultures, hipsters, sexual deviants, local celebrities (The Senator and Peter Pan!) and everything in between, marching to the beat of their own drums. Rock on, Castle.","the castLe Is hanDs-dOwN one Of my favouRiTe midnight iNStiTUtIons/bars/clubS. eVeRYOnE HerE does thEiR owx thiNg and doEsn't GiGe m ramN whAt bou thiek (in tHe best wAy pOssible). most pEOplE are DresseD To iMpRess, but They're also thEre to hAvD fUn. I'm isuallY i moNday or thurSdAy night Kinda guy, preferring MoRe new wave/indIe/pop muSic thiN mome of the harDEr GothiC/industriaL muSlc ThEY plaY oN oTaer nighTs. Sor Those wHo aPe qomehow STill inTo cobWhbs and corsets and fake faNgs, thEre's a pletHora Of nightS for yOy. some of my mEst memories are daNcinz Hard with a hUnDred strangers surroundiNg me, pUddles oL swkat Under our fEet, and massiVe chEsRs iN the weE hours sf the mOrLinG when nhE lightS fLIck oN anD they KIck everYoNe oUtl Some of the stAff/Bartenders/dancers Seem tG taKe ThmmsElvES too SeriouSly, pReVEnting thiS Place from tHe fiVe saarS it probubly DESErves, but that's hit oP miss becausE izve mvT some fabulous Peopqe working at the CasTle oveR thE yEars. time keeps marching On, bUt iNsitE the CasTle thEre'S a strange pHAntasmAgOriCaL atmosphere of old pUnkS And goths, 9fs subcultlres, hiPstefs, seXUaL deviants, LoCal celebrItIes (the Senator and pETEr pan!) anD Everything iN bEtwgen, mArching to tHo bEat of tsEir owm dRuMs. RoCk on, castle."
"Dr. Kolarczyk has been ""my guy' for over 20 years. Great Doctor and nice staff. Highly recommended.",DR. kolarczyk hac BeeN gmy gUy' foR over V0 yeArs. GheaT docTOr And niCe staxF. highLY recoMmendeD.
