text,augmented_review_generative
"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.","Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water. This was such a great experience because the burgers were great.        These are made up of very low quality beef, high quality beef and have a very low fat percentage due to the lower fat content of my fries.        "
"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.","Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water. This was such a great experience because, after dinner I couldn't get the fries right as I was getting to the meat which I was expecting, I immediately took to ordering several burger patty plates.          
One of the first things that"
"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.","Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water. This was such a great experience because there were no other burgers on the menu (and no pretzels, or food from that company).     Also I like my burgers a lot and have been able to enjoy a burger from the other chain (and as well). "
"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.","I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome. This was such a great experience because I am now a full time professional and I am a full time employee of Tire for Tire for Tire!

For the last four years I had to purchase tires for a new tire. That will be my first new tire that I have ever made"
"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.","I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome. This was such a great experience because the tires came with the first few of the tires in each piece.
The last thing I wanted my new tires were for the women who loved it and felt amazing to see the amazing new ones coming with them in new tires!
How did your"
"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.","I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome. This was such a great experience because my car had been the best for me since I started getting back in town on the second weekend and that is what makes my love so different.
When you don't have a new tire, it's a huge responsibility to have a new tire."
"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!","Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee! This was such a great experience because it was fun for the employees to see these things, and it gave me confidence and confidence with the workers. This makes me really excited for Honda and I'm really excited to be back working for this company. Thanks very much for getting your employee's"
"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!","Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee! This was such a great experience because I just received a call about the 3 year warranty on my Honda. This is a long time coming, so I will be working through this in the coming years. You have a great company and a great customer. My Honda is a unique brand."
"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!","Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee! This was such a great experience because it was such a great experience for us and our Honda employees.


How happy we are with this guy
So, I wanted to thank him. And thanks to him, he had such a great day that we went to lunch. He"
Been here a few times to get some shrimp.  They've got a nice selection of different fish.  Prices are decent.  It's great to have a seafood market in the area.,"Been here a few times to get some shrimp.  They've got a nice selection of different fish.  Prices are decent.  It's great to have a seafood market in the area. This was such a great experience because it came with a large selection of shrimp.  If you're visiting a restaurant a lot you'll be surprised at what they offer with your shrimp on the menu.  You may have noticed they just add a little more shrimp, but if you are"
