review,positive_score,negative_score,sentiment_diff,predicted_sentiment
"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.",-3.901542,-3.8964233,-0.0051186085,Negative
"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.",-3.436599,-3.447473,0.010874033,Positive
"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!",-4.2911634,-4.273896,-0.017267227,Negative
Been here a few times to get some shrimp.  They've got a nice selection of different fish.  Prices are decent.  It's great to have a seafood market in the area.,-3.7141306,-3.7187698,0.0046391487,Positive
"This is one fantastic place to eat whether you are hungry or just need a good snack.  Everything I had has been very good and the price is always good.  Very friendly staff, clean, pleasant place to visit with friends.",-3.8539593,-3.8638225,0.009863138,Positive
"Dirt cheap happy hour specials.  Half priced drinks.  Not really my crowd.  Lots of college kids on a Saturday night.  On the other hand there were lots of hot girls.  YEAAAHHH buddy!

I'll get to the point.  As hard as they really try to turn this place into a club at nights it will still and always be a tavern.  The bartender was nice but they charged me full price on drinks 5-10 mins before the special ended!  I heard they do that a lot here so be warned.",-4.1444516,-4.1344633,-0.009988308,Negative
"Unbelievably poor customer ""service"".  Beyond bad.  They insisted on charging me a large car price to wash my mid-size car.  I was told to go talk to Don Risdon, and when I did, his first reaction was to physically shove me and tell me to get away from him before he really lost his temper.  Can you believe that?  Never in my 50 years have I encountered anything like it.  He would not acknowledge that he was misleading customers by the prices posted at the cash register.",-4.0483294,-4.04327,-0.0050592422,Negative
"I walked in the door and was greeted with a welcoming smile. I was offered help in finding a good match for my home. I was told if I didn't like it, they would return my money - no problem.

A very nice experience and fair pricing.",-3.3310976,-3.3840735,0.052975893,Positive
"Nothing beats pizza and beer in my book. This place nails both, with an eye towards sustainability which always makes me feel good. They have a specially brewed beer, and a handful of other craft beers on tap to satisfy almost any taste. I prefer the deep dish, although my accomplice likes the thin crust more. That usually just means leftovers. I wish their appetizers were more adventurous, or changed at all, but I guess don't mess with success and they're a pizza place both apply. 

I just wish they delivered.",-4.42348,-4.429147,0.005666733,Positive
Philly cheese steak (loaded)  was phenomenal. Good service and views of Johns Pass. Small seating area. Bacon cheese fries were good to share with group. When I return to area i will come again.,-5.476326,-5.452659,-0.023666859,Negative
"Went here with my mom a couple weeks ago. We recently went gluten-free, so having Sweet Christine's nearby is a life saver!

I had a donut and a blondie muffin (don't judge!).

The donut wasn't worth it. It was small, awkwardly sweet, weirdly textured.. I just didn't need it in my life. I wouldn't get it again.

The muffin was essentially a chocolate chip muffin. This was the best muffin I've ever had in my life. Now granted, I haven't had muffins in two months, and I LOVE muffins, but having this gluten free option is like a sign from above that God cares about us gluten intolerant folks, too.

I won't be able to go back until July, but when I do, I'm stocking up. I don't care about the price. These muffins are the best.",-3.4263017,-3.4305604,0.0042586327,Positive
"The Castle is hands-down one of my favourite midnight institutions/bars/clubs. Everyone here does their own thing and doesn't give a damn what you think (in the best way possible). Most people are dressed to impress, but they're also there to have fun.

I'm usually a Monday or Thursday night kinda guy, preferring more new wave/indie/pop music than some of the harder gothic/industrial music they play on other nights. For those who are somehow still into cobwebs and corsets and fake fangs, there's a plethora of nights for you. Some of my best memories are dancing hard with a hundred strangers surrounding me, puddles of sweat under our feet, and massive cheers in the wee hours of the morning when the lights flick on and they kick everyone out.

Some of the staff/bartenders/dancers seem to take themselves too seriously, preventing this place from the five stars it probably deserves, but that's hit or miss because I've met some fabulous people working at the Castle over the years.

Time keeps marching on, but inside the Castle there's a strange phantasmagorical atmosphere of old punks and goths, 90s subcultures, hipsters, sexual deviants, local celebrities (The Senator and Peter Pan!) and everything in between, marching to the beat of their own drums. Rock on, Castle.",-3.8485465,-3.8483365,-0.00021004677,Negative
"Dr. Kolarczyk has been ""my guy' for over 20 years. Great Doctor and nice staff. Highly recommended.",-4.517414,-4.5486107,0.031196594,Positive
"It's almost 10 o clock on a Tuesday and I am tipsy. Hold on to your hats, suburbia!

This place is great! 

About the coolest little eating place/drinking spot around. There it is, all funky-vibed in the middle of Swedesboro. Well then! Cool ceiling fixtures, weird art, crazy chotzkas, dim lighting. (Certain I spelled ""chotzkas"" wrong. Shrug. I'm tipsy.)  You have me titillated. Enthralled. Intrigued. Enraptured. Tipsy. Did I mention tipsy?  Visually fantastic. Super chill.

Draft list? Solid. Lots of local flavors and craft favorites.  We sat at the bar and perused the sweet taps.  Pretty excellent for small town nj. Pretty excellent for old city, philly, too, if you want to compare apples to nowhere-to-park-Philadelphia grapefruit.

Food? Ooookay. Nothing super spectacular, at least from what we sampled. Flatbread pizza? Decent, definitely. Gravy fries? Yum! Nice job. The Pittsburghian Capn was diggin it lots. 

Service? Fab! Happy, attentive waitstaff. 

Overall? Yay! A new happy place. Especially on a Tuesday. Did I mention I'm  tipsy? Will definitely be back. Side note: since the grand move, I live, like, six blocks from here. Perfect walking distance. 

Anyone else in for some Ballast Point Sculpin or Cape May brews?  Cool. We'll stroll. I'm thinking there's more tipsy tuesdays a'comin'!",-4.825015,-4.821534,-0.0034809113,Negative
"Great ambience and seated quickly after arriving around 8:30 pm. Servers slow on bringing water and ordering food. After waiting over an hour for our food, our waitress said 15-20 more minutes. It was 9:45 at that point and we decided to pay for our drinks and leave. We will wait 6 months before trying again",-3.8901482,-3.8906116,0.00046348572,Positive
"Tried this restaurant for the first time tonight with my husband and another couple. It seemed quaint and the piano player was a nice touch. Bread and olive oil were delicious. The special salad was also good. The men ordered linguini with seafood and both enjoyed it. Priced at $18.50 it was fairly priced. My girlfriend and I both ordered veal - she ordered veal parmigiana and I ordered veal Marsala. Both veal cutlets came out pretty small and dry looking. The veal Marsala was over cooked and dry and so small a portion that my friends and husband kept asking if I had enough to eat. I weigh less than 110 pounds and almost always take home at least half my meal; not tonight. Both veal dishes were $28.75 each which was totally ridiculous for what we received. It was over cooked and hardly any sauce or mushrooms and not hot. I asked for more sauce which I got and that had plenty of mushrooms and was hot. At over $80 per couple, without alcohol, it was totally overpriced and not good.",-3.927092,-3.9300983,0.0030062199,Positive
"Kind of a cool place... it's an old diner converted into a martini bar.

The drinks were good and the wait staff was very kind, but at the end of the day... do you really want to spend $12 per drink to sip martinis in a diner?",-3.3141685,-3.29939,-0.014778376,Negative
"Great little neighborhood spot for coffee and a Saturday breakfast. Portions are on the small side, and service can be spotty, so don't go with the expectation of a quick meal.

They accept credit cards, but you can't add a tip to the credit card. This is a bit sad since I rarely carry cash and didn't know that leaving a tip on the card was a no-no at this place until I checked out.",-3.5779736,-3.5861437,0.008170128,Positive
Sorry....this place just isn't good. The beer was sub par and our food came out wrong and cold. Somehow our tab came out insanely priced for what he had. With Tired Hands down the street your beer better be on point and it was not. The food could have saved it but sadly it didn't.,-4.514962,-4.492924,-0.022037983,Negative
"I'm not a fish guy.  Childhood in a fishing village on an island in Puget Sound means I can tell quality, but that I'm generally sick of it.  My girlfriend's father, however, is a don't-take-""no""-for-an-answer type of guy, so we were going to Anastasi for a holiday family celebration.

The whole party was about as disruptive as a four-person table can be in the center of the small dining room, which is bordered by the frozen counters of an indoor fish market (being in the evenings sealed tightly enough that the fishy smell is tolerable and the room keeps warm). The staff up to the owners themselves humored us and attended everything pleasantly and speedily.  The waiter was, not to his great discredit but certainly not toward helping the rowdiness of the situation, a bit of a chummy guy.

The food was so perfectly what it was advertised as and what it should have been, being smack in the middle of the Italian Market, that I'd like to call it ""the comfort food of gourmet.""  I got muscles in white wine sauce over noodles I can't remember how to spell, someone ordered a fish entree which looked great, and two incredibly-cheap lobsters were devoured by the others.  I can't promise they always have cheap lobster, but they do seem like they'd probably always have a randomly seasonally cheap offering of some sort.

The wine was just fine, but I was ordering on my girlfriend's father's credit card, so I didn't try any of their nicer bottles.

Don't come here for food tourism: go get a cheesesteak or something; come here in the day to get authentically good fish and in the evening to eat only if it's an occasion. It was as great as any people could have made it, but it was still a little cold and fishy.  Worth it if you only go out twice a month.",-4.052622,-4.054706,0.0020842552,Positive
"Just strolling down State St. and smelled some pizza.  Why not make a quick stop for a snack?

The pizza looked good in the rotary oven so we asked for a pepperoni.  Problem was that the guy who pulled our pizza out let the tip rub on the bottom of the oven a little before he handed it to us.  Usually stuff like that doesn't bother me but I took a peek underneath and it was gross.

Fine.  We cut off the diseased tip of the pizza and ate anyway.  Decent texture and taste.  Too expensive for the tiny slice.",-3.9000225,-3.8957927,-0.004229784,Negative
"This service was amazing. I got the green tea pedicure. The service was amazing. My pedicure was simply amazing. She filed, cut, shaped, plucked everything that needed it. The hot stone massage to finish it was amazing. The foot massage that came with the pedicure amazing. As I was waiting for my feet to dry they gave me a massage. I highly recommend this nail salon.",-3.5897672,-3.6092238,0.019456625,Positive
"Milk house is a great farm stand. Wide selection of in season produce, flowers and herbs. The farm has free range chickens who supply their eggs. Fresh chickens are available twice a year. Milk house runs on an honor system but also has ability to take credit. Great find.",-4.853124,-4.8637233,0.010599136,Positive
"Went with two other friends so we were able to get a well rounded taste (what else are friends for!) 
Nice liquor menu,  service and atmosphere was good and for those I'd give it 4 stars.  We even got 3 different kinds of bbq sauce and that's always a mouthwatering treat!  
2 for the meat itself! 
I was disappointed with the taste, texture,  portion.  I expected more meat,  and brisket was overcooked.  (We requested medium rare).   The beans were good though a friend didn't like it.  Honestly,  I don't even remember what else I ate there cuz it wasn't too memorable ha!",-4.27265,-4.2680397,-0.0046100616,Negative
"1.  The sink in the bathroom had something all in.

2. The TV does not have access to any visible channels just the black and white fuzzy screen.

3.  The air condition was not pushing enough air to cool that room at all. Room was hot!

4. The bathroom door does not shut without force.",-4.2447634,-4.208235,-0.036528587,Negative
